part,name,description,category,product_line_id,release_date,original_condition_id
F9D31AA,HP ElitePad Power/Ethernet Adapter,HP ElitePad Power/RJ45 Adapter (ElitePad 900/1000 G2),Accessories>AC Adapters,Commercial,2015-06-19,Excess New
AZ552AA#ABA,HP thin Client 65 Watt Rfrbd Power Supply,HP thin Client 65 Watt External Power Supply,Accessories>AC Adapters,Commercial,2015-07-30,Excess New
QP905AAR,HP 12V USB + Rfrbd Power Card,HP 12V USB + Power Card,Accessories>AC Adapters,Commercial,2015-09-28,Refurbished
F5J05AA,HP 6pin to Dual-6pin Graphics Power Adapter,HP 6pin to Dual-6pin Graphics Power Adapter,Accessories>AC Adapters,Commercial,2015-12-17,Excess New
QP905AA,HP 12V USB + Power Card,HP 12V USB + Power Card,Accessories>AC Adapters,Commercial,2016-01-13,Refurbished
M9Y80LA#ABM,Consumer NB Option Power Rfrbd Backpack,Consumer NB Third Party Option Power Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2016-02-02,Excess New
T0X80LA#ABM,HP 2600mah Rfrbd Power Pack,HP 2600mah Power Pack,Accessories>AC Adapters,Consumer,2016-03-03,Refurbished
T2E99LA#ABM,HP Power Rfrbd Backpack,HP Power Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2016-03-03,Refurbished
T2F00LA#ABM,HP Power Rfrbd Backpack,HP Power Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2016-03-03,Refurbished
V8U46LA#ABM,Obsequio Power Rfrbd Backpack,Obsequio Power Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2016-06-20,Excess New
W2F74AA#ABA,HP 150W 4.5mm Smart AC Adapter,HP 150W 4.5mm Smart AC Adapter,Accessories>AC Adapters,Commercial,2016-08-16,Refurbished
W2F75AA#ABA,HP 200W 4.5mm Smart AC Adapter,HP 200W 4.5mm Smart AC Adapter,Accessories>AC Adapters,Commercial,2016-08-22,Refurbished
W2F75UT#ABA,HP 200W 4.5mm Smart AC Adapter,HP 200W 4.5mm Smart AC Adapter,Accessories>AC Adapters,Commercial,2016-08-22,Refurbished
W2F74UT#ABA,HP 150W 4.5mm Smart AC Adapter,HP 150W 4.5mm Smart AC Adapter,Accessories>AC Adapters,Commercial,2016-09-22,Excess New
V5Y26UT#ABA,HP 45W USB-C Power Adapter,HP 45W USB-C AC Power Adapter,Accessories>AC Adapters,Commercial,2016-10-03,Refurbished
V5Y26AA#ABA,HP 45W USB-C Power Rfrbd Adapter,HP 45W USB-C AC Power Adapter,Accessories>AC Adapters,Commercial,2016-10-07,Excess New
V5Y26AA#ABA,HP 45W USB-C Power Adapter,HP 45W USB-C AC Power Adapter,Accessories>AC Adapters,Commercial,2016-10-10,Excess New
X3X82LA#ABM,Gray Power Backpack,Gray Power Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2017-01-12,Excess New
X3X83LA#ABM,Gray Power Backpack,Gray Power Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2017-01-12,Excess New
V8U47LA#ABM,Power Backpack,Power Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2017-01-12,Refurbished
N9F71AA#ABA,HP Notebook Power Bank,HP Notebook Power Bank,Accessories>Cables & Adapters,Commercial,2017-01-30,Refurbished
F8A52AV#ABA,HP Pro x2 612 Backlit Power Keyboard,HP Pro x2 612 Backlit Power Keyboard,Accessories>Keyboards & Mice,Commercial,2017-04-10,Excess New
Y3U69AA#ABA,HP Thin Client 65W Power Supply,HP Thin Client 65W Power Supply,Accessories>AC Adapters,Commercial,2017-06-29,Excess New
